id;tracking_code;date;details;invoice_id
1;leading-edge synergize;2019-06-30T05:07:43;Chief web-enabled interactive;8
2;Path Assimilated Unions;2019-06-30T14:38:44;Towels;5
3;web-readiness;2019-06-29T20:04:12;integrated;6
4;deposit;2019-06-30T17:42:42;payment;2
5;Division Towels applications;2019-06-30T15:58:39;Officer Bedfordshire;6
6;Fantastic Soft Table;2019-06-30T12:59:18;National turquoise orchid;1
7;Street New Jersey;2019-06-30T16:26:56;synthesize;5
8;Malaysia supply-chains;2019-06-30T08:24:28;Rhode Island Computer;2
9;SDD Mobility;2019-06-30T09:04:00;tertiary;7
10;schemas Industrial;2019-06-30T14:16:42;bus withdrawal Toys;3
